# rtl_cycle_trace time_ps	tag	message
258000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
258000	S5_RTR	mode=0 rin=0 a00=0 a10=-26 a20=21 w000=-78 w100=-56 w200=3
262000	S6_SEQ	ss=0->1 h=0 wb=0 cg=0 ci=0 kw=0 pe=0 clr=0 ppu=0 pool=0
262000	S4_AGI	mode=0 bank=0 addr=341 ar0=0 ar1=0 pad=1 zp=0 kh=0
262000	S4_AGW	mode=0 bk=0 a0=0 a1=3 cin=0 cg=0 kw=0 kh=0
262000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
262000	S5_RTR	mode=0 rin=0 a00=0 a10=-26 a20=21 w000=-78 w100=-56 w200=3
266000	S6_SEQ	ss=1->2 h=0 wb=0 cg=0 ci=0 kw=0 pe=0 clr=0 ppu=0 pool=0
266000	S4_AGI	mode=0 bank=0 addr=341 ar0=0 ar1=0 pad=1 zp=0 kh=0
266000	S4_AGW	mode=0 bk=0 a0=0 a1=3 cin=0 cg=0 kw=0 kh=0
266000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
266000	S5_RTR	mode=0 rin=0 a00=0 a10=-26 a20=21 w000=-78 w100=-56 w200=3
266000	S5_WIN	k=3 shift_v=0 flush=1 fill=0 tv=0 in0=0 t00=0
270000	S6_SEQ	ss=2->3 h=0 wb=0 cg=0 ci=0 kw=0 pe=1 clr=1 ppu=0 pool=0
270000	S4_AGI	mode=0 bank=0 addr=341 ar0=0 ar1=0 pad=1 zp=0 kh=0
270000	S4_AGW	mode=0 bk=0 a0=0 a1=3 cin=0 cg=0 kw=0 kh=0
270000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
270000	S5_RTR	mode=0 rin=0 a00=0 a10=-26 a20=21 w000=-78 w100=-56 w200=3
270000	S7_GLBI	r0=0 r1=-26 r2=21 pad0=1 pad1=0 pad2=0 pz=0
270000	S7_GLBW	w00=-78 w01=-115 w10=-56 w20=3
270000	S7_RT	a00=0 a10=-26 a20=21 g00=-78 g10=-56 g20=3
270000	S7_ADR	r0=0 r1=0 r2=0 wbk=0 wa0=0 wa1=3
274000	S6_SEQ	ss=3->4 h=0 wb=0 cg=0 ci=0 kw=0 pe=0 clr=0 ppu=0 pool=0
274000	S4_AGI	mode=0 bank=0 addr=341 ar0=0 ar1=0 pad=1 zp=0 kh=0
274000	S4_AGW	mode=0 bk=0 a0=0 a1=3 cin=0 cg=0 kw=0 kh=0
274000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
274000	S5_RTR	mode=0 rin=0 a00=0 a10=-26 a20=21 w000=-78 w100=-56 w200=3
274000	S5_WIN	k=3 shift_v=1 flush=0 fill=0 tv=0 in0=0 t00=0
274000	S1_DSP	xa=0 xb=0 w=-78 en=1 clr=1 | acc_a=0 acc_b=0
274000	S1_PEU	mode=0 x0=0 x1=0 w0=-78 clr=1 psum_v=0 p0=0
